eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
S/2003 J 23,FALSE,23549000,0,0,0.309,149.2,1,8.10E-04,0,1,0,0,0,NA,759.7,0,2003,1.5E+13,NA,Secondary,Jupiter,NA,NA,NA,0.029569961,5.322592891,2.06E-12,7.89E-15,0.157415342,3.59241E+12
Mimas,FALSE,185539,181770,189270,0.0202,1.53,1.15,0,0,396.4,0,0,0,415x394x381,0.94,22.56,17/09/1789,3.79E+19,NA,Secondary,Saturn,NA,NA,NA,3.755212651,675.9382771,3.24E-07,1.99E-08,0.001240252,1.46E+23
Enceladus,FALSE,238037,236830,239066,0.0045,0,1.61,0,0,504.2,0,0,0,NA,1.37,32.88,28/08/1789,1.08E+20,NA,Secondary,Saturn,NA,NA,NA,2.927470099,526.9446179,5.24E-07,5.68E-08,0.001591179,2.53E+23
Tethys,FALSE,294672,294589,294648,0,1.86,0.985,0,0,1066,0,0,0,NA,1.89,45.312,21/03/1684,6.18E+20,NA,Secondary,Saturn,NA,NA,NA,2.366726394,426.0107509,2.34E-06,3.25E-07,0.001969761,9.45E+23
Dione,FALSE,377415,376580,378260,0.0022,0.02,1.48,0,0,1123.4,0,0,0,NA,2.74,0,21/03/1684,1.10E+21,NA,Secondary,Saturn,NA,NA,NA,1.848006571,332.6411828,2.60E-06,5.79E-07,0.002522863,1.03E+24
Rhea,FALSE,527068,526543,527597,0.001,0.35,1.24,0,0,1528.6,0,0,0,NA,4.518,108.432,23/12/1672,2.30E+21,NA,Secondary,Saturn,NA,NA,NA,1.324061791,238.3311224,4.82E-06,1.21E-06,0.003523232,1.10E+24
Titan,FALSE,1221865,1186680,1257060,0.0292,0.33,1.88,0,0,2575,0,0,0,NA,15.95,382.8,25/03/1655,1.35E+23,NA,Secondary,Saturn,NA,NA,NA,0.572008364,102.9615056,1.37E-05,7.11E-05,0.008167663,1.20E+25
Hyperion,FALSE,1500934,1466112,1535756,0.1042,0.43,0.55,0,0,266,0,0,0,328x260x214,21.28,0,16/09/1848,5.60E+18,NA,Secondary,Saturn,NA,NA,NA,0.464116344,83.54094184,1.46E-07,2.95E-09,0.010033124,3.30E+20
Iapetus,FALSE,3560851,3460068,3661612,0.0283,14.72,1.09,0,0,1471.2,0,0,0,NA,79.33,1735.92,25/10/1671,1.81E+21,NA,Secondary,Saturn,NA,NA,NA,0.195968099,35.27425775,4.46E-06,9.53E-07,0.023802819,1.90E+22
Phoebe,FALSE,12947913,0,0,0.164,174.8,1.64,0,0,214.4,0,0,0,230x220x210,548.2,9.2736,17/03/1899,8.29E+18,NA,Secondary,Saturn,NA,NA,NA,0.053796809,9.683425584,9.48E-08,4.36E-09,0.086551453,6.57E+18
Janus,FALSE,151460,0,0,0.007,0.14,0.63,0,0,33,0,0,0,195x194x152,0.7,0,15/12/1966,1.90E+18,NA,Secondary,Saturn,NA,NA,NA,4.59774858,827.5947445,2.25E-09,1.00E-09,0.001012448,1.10E+22
Epimetheus,FALSE,151410,0,0,0.009,0.34,0.64,0,0,113.4,0,0,0,116x117x106,0.69,0,18/12/1966,5.30E+17,NA,Secondary,Saturn,NA,NA,NA,4.5997979,827.963622,2.65E-08,2.79E-10,0.001012113,3.07E+21
Helene,FALSE,377420,0,0,0.005,0,1.3,0,0,33,0,0,0,39x37x25,2.74,0,1/3/80,2.40E+16,NA,Secondary,Saturn,NA,NA,NA,1.845093,332.11674,2.25E-09,1.26E-11,0.002522897,2.24E+19
Telesto,FALSE,294710,0,0,0.001,1.158,1,0,0,33,0,0,0,30x23x14,1.89,0,8/4/80,1.00E+16,NA,Secondary,Saturn,NA,NA,NA,2.362916087,425.3248957,2.25E-09,5.26E-12,0.001970015,1.53E+19
Calypso,FALSE,294710,0,0,0.001,1.473,1,0,0,33,0,0,0,31x24x21,1.89,0,13/03/1980,6.50E+15,NA,Secondary,Saturn,NA,NA,NA,2.362916087,425.3248957,2.25E-09,3.42E-12,0.001970015,9.94E+18
Atlas,FALSE,137670,0,0,0,0.3,0.5,0,0,33,0,0,0,42x36x18,0.602,0,12/11/80,7.00E+15,NA,Secondary,Saturn,NA,NA,NA,5.058291567,910.492482,2.25E-09,3.68E-12,9.20E-04,4.91E+19
Prometheus,FALSE,139380,0,0,0.00204,0,0.48,0,0,33,0,0,0,133x79x61,0.613,0,??/10/1980,1.60E+17,NA,Secondary,Saturn,NA,NA,NA,4.996233319,899.3219974,2.25E-09,8.42E-11,9.32E-04,1.09E+21
Pandora,FALSE,141720,0,0,0.0042,0,0.49,0,0,33,0,0,0,103x80x64,0.629,0,??/10/1980,1.40E+17,NA,Secondary,Saturn,NA,NA,NA,4.913738357,884.4729043,2.25E-09,7.37E-11,9.47E-04,9.26E+20
Pan,FALSE,133580,0,0,0,0,0.42,0,0,33,0,0,0,35x32x21,0.575,0,22/08/1981,4.95E+15,NA,Secondary,Saturn,NA,NA,NA,5.213168139,938.370265,2.25E-09,2.61E-12,8.93E-04,3.68E+19
Ymir,FALSE,23140400,0,0,0.187,167.9,1,0,0,9,0,0,0,NA,1315.4,0,7/8/00,3.97E+15,NA,Secondary,Saturn,NA,NA,NA,0.030092436,5.416638433,1.67E-10,2.09E-12,0.15468402,9.84664E+14
Paaliaq,FALSE,15024000,6908035,23139965,0.364,47.2,1,0,0,10,0,0,0,NA,686.9,0,7/8/00,7.25E+15,NA,Secondary,Saturn,NA,NA,NA,0.046349308,8.342875399,2.06E-10,3.82E-12,0.100429237,4.26586E+15
Tarvos,FALSE,18263200,0,0,0.531,33.8,1,0,0,7,0,0,0,NA,926.2,0,23/09/2000,2.30E+15,NA,Secondary,Saturn,NA,NA,NA,0.038128532,6.863135705,1.01E-10,1.21E-12,0.122081952,9.15827E+14
Ijiraq,FALSE,11367400,0,0,0.316,49.1,1,0,0,5,0,0,0,NA,451.4,0,23/09/2000,1.18E+15,NA,Secondary,Saturn,NA,NA,NA,0.061258247,11.02648451,5.16E-11,6.21E-13,0.075986376,1.21283E+15
Suttungr,FALSE,19476700,0,0,0.114,175.8,1,0,0,3,0,0,0,NA,1016.7,0,23/09/2000,2.3E+14,NA,Secondary,Saturn,NA,NA,NA,0.03575272,6.435489585,1.86E-11,1.21E-13,0.130193698,8.0526E+13
Kiviuq,FALSE,11311100,0,0,0.334,48.7,1,0,0,7,0,0,0,NA,449.2,0,7/8/00,2.79E+15,NA,Secondary,Saturn,NA,NA,NA,0.061563332,11.08139969,1.01E-10,1.47E-12,0.075610033,2.89624E+15
Mundilfari,FALSE,18667900,0,0,0.21,169.4,1,0,0,3,0,0,0,NA,952.6,0,23/09/2000,2.3E+14,NA,Secondary,Saturn,NA,NA,NA,0.037301732,6.714311733,1.86E-11,1.21E-13,0.124787204,8.76549E+13
Albiorix,FALSE,16401100,0,0,0.469,34,1,0,0,13,0,0,0,NA,783.5,13.32,9/11/00,2.23E+16,NA,Secondary,Saturn,NA,NA,NA,0.042457823,7.642408131,3.49E-10,1.17E-11,0.109634582,1.10103E+16
